Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
61,2018/06/04,boxscore (https://www.baseball-reference.com/boxes/DET/DET201806042.shtml),DET,,NYY (https://www.baseball-reference.com/teams/NYY/2018.shtml),W,4,2,,29-32,2,2.5,Fiers (https://www.baseball-reference.com/players/f/fiersmi01.shtml),Germán (https://www.baseball-reference.com/players/g/germado01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),3:07,N,"24,165",0.94,+,
62,2018/06/05,boxscore (https://www.baseball-reference.com/boxes/BOS/BOS201806050.shtml),DET,@,BOS (https://www.baseball-reference.com/teams/BOS/2018.shtml),L,0,6,,29-33,2,3.5,Wright (https://www.baseball-reference.com/players/w/wrighst01.shtml),Lewicki (https://www.baseball-reference.com/players/l/lewicar01.shtml),,2:41,N,"34,762",1.02,-,
63,2018/06/06,boxscore (https://www.baseball-reference.com/boxes/BOS/BOS201806060.shtml),DET,@,BOS (https://www.baseball-reference.com/teams/BOS/2018.shtml),L,1,7,,29-34,2,4.5,Rodríguez (https://www.baseball-reference.com/players/r/rodried05.shtml),Hardy (https://www.baseball-reference.com/players/h/hardybl01.shtml),,3:20,N,"35,182",0.92,--,
64,2018/06/07,boxscore (https://www.baseball-reference.com/boxes/BOS/BOS201806070.shtml),DET,@,BOS (https://www.baseball-reference.com/teams/BOS/2018.shtml),W,7,2,,30-34,2,4,Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),Beeks (https://www.baseball-reference.com/players/b/beeksja02.shtml),,2:55,N,"36,556",0.91,+,
65,2018/06/08,boxscore (https://www.baseball-reference.com/boxes/DET/DET201806080.shtml),DET,,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),L,1,4,,30-35,2,5,Bauer (https://www.baseball-reference.com/players/b/bauertr01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),Allen (https://www.baseball-reference.com/players/a/allenco01.shtml),2:43,N,"21,766",1.46,-,
66,2018/06/09,boxscore (https://www.baseball-reference.com/boxes/DET/DET201806090.shtml),DET,,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),W-wo,4,2,12,31-35,2,4,Saupold (https://www.baseball-reference.com/players/s/saupowa01.shtml),Allen (https://www.baseball-reference.com/players/a/allenco01.shtml),,3:46,N,"27,038",1.36,+,
67,2018/06/10,boxscore (https://www.baseball-reference.com/boxes/DET/DET201806100.shtml),DET,,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),L,2,9,,31-36,2,5,Kluber (https://www.baseball-reference.com/players/k/klubeco01.shtml),Lewicki (https://www.baseball-reference.com/players/l/lewicar01.shtml),,2:49,D,"22,862",1.49,-,
68,2018/06/12,boxscore (https://www.baseball-reference.com/boxes/DET/DET201806120.shtml),DET,,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L,4,6,,31-37,3,5.5,Pressly (https://www.baseball-reference.com/players/p/pressry01.shtml),Coleman (https://www.baseball-reference.com/players/c/colemlo01.shtml),Rodney (https://www.baseball-reference.com/players/r/rodnefe01.shtml),3:24,N,"20,340",0.91,--,
69,2018/06/13,boxscore (https://www.baseball-reference.com/boxes/DET/DET201806130.shtml),DET,,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),W,5,2,,32-37,2,4.5,Jiménez (https://www.baseball-reference.com/players/j/jimenjo02.shtml),Reed (https://www.baseball-reference.com/players/r/reedad01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),3:08,N,"19,206",0.91,+,
70,2018/06/14,boxscore (https://www.baseball-reference.com/boxes/DET/DET201806140.shtml),DET,,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),W,3,1,,33-37,2,4.5,Fulmer (https://www.baseball-reference.com/players/f/fulmemi01.shtml),Lynn (https://www.baseball-reference.com/players/l/lynnla01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),2:32,D,"27,573",1.04,++,
71,2018/06/15,boxscore (https://www.baseball-reference.com/boxes/CHA/CHA201806150.shtml),DET,@,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),W,4,3,,34-37,2,3.5,Farmer (https://www.baseball-reference.com/players/f/farmebu01.shtml),Minaya (https://www.baseball-reference.com/players/m/minayju01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),3:23,N,"22,813",0.91,+++,
72,2018/06/16,boxscore (https://www.baseball-reference.com/boxes/CHA/CHA201806160.shtml),DET,@,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),W,7,5,,35-37,2,2.5,Farmer (https://www.baseball-reference.com/players/f/farmebu01.shtml),Fry (https://www.baseball-reference.com/players/f/fryja01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),3:03,D,"23,195",0.99,++++,
73,2018/06/17,boxscore (https://www.baseball-reference.com/boxes/CHA/CHA201806170.shtml),DET,@,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),W,3,1,,36-37,2,2.5,Hardy (https://www.baseball-reference.com/players/h/hardybl01.shtml),Shields (https://www.baseball-reference.com/players/s/shielja02.shtml),Jiménez (https://www.baseball-reference.com/players/j/jimenjo02.shtml),2:59,D,"26,746",1.11,+++++,
74,2018/06/19,boxscore (https://www.baseball-reference.com/boxes/CIN/CIN201806190.shtml),DET,@,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),L,5,9,,36-38,2,4,Romano (https://www.baseball-reference.com/players/r/romansa01.shtml),Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),,3:32,N,"31,085",1.04,-,
75,2018/06/20,boxscore (https://www.baseball-reference.com/boxes/CIN/CIN201806200.shtml),DET,@,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),L,3,5,,36-39,2,5,Mahle (https://www.baseball-reference.com/players/m/mahlety01.shtml),Fulmer (https://www.baseball-reference.com/players/f/fulmemi01.shtml),Iglesias (https://www.baseball-reference.com/players/i/iglesra01.shtml),3:04,D,"19,177",0.96,--,
76,2018/06/22,boxscore (https://www.baseball-reference.com/boxes/CLE/CLE201806220.shtml),DET,@,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),L,0,10,,36-40,2,6,Bieber (https://www.baseball-reference.com/players/b/biebesh01.shtml),Fiers (https://www.baseball-reference.com/players/f/fiersmi01.shtml),,2:43,N,"30,926",1.49,---,
77,2018/06/23,boxscore (https://www.baseball-reference.com/boxes/CLE/CLE201806230.shtml),DET,@,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),L,1,4,,36-41,2,7,Bauer (https://www.baseball-reference.com/players/b/bauertr01.shtml),Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),Allen (https://www.baseball-reference.com/players/a/allenco01.shtml),2:51,N,"34,435",1.37,----,
78,2018/06/24,boxscore (https://www.baseball-reference.com/boxes/CLE/CLE201806240.shtml),DET,@,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),L,2,12,,36-42,2,8,Plutko (https://www.baseball-reference.com/players/p/plutkad01.shtml),Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),,2:55,D,"31,208",1.24,-----,
79,2018/06/25,boxscore (https://www.baseball-reference.com/boxes/DET/DET201806250.shtml),DET,,OAK (https://www.baseball-reference.com/teams/OAK/2018.shtml),L,4,5,,36-43,3,8,Trivino (https://www.baseball-reference.com/players/t/trivilo01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),Treinen (https://www.baseball-reference.com/players/t/treinbl01.shtml),3:17,D,"19,127",0.58,------,
80,2018/06/26,boxscore (https://www.baseball-reference.com/boxes/DET/DET201806260.shtml),DET,,OAK (https://www.baseball-reference.com/teams/OAK/2018.shtml),L,7,9,,36-44,3,8,Buchter (https://www.baseball-reference.com/players/b/buchtry01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),Treinen (https://www.baseball-reference.com/players/t/treinbl01.shtml),3:47,N,"22,809",0.58,-------,
81,2018/06/27,boxscore (https://www.baseball-reference.com/boxes/DET/DET201806270.shtml),DET,,OAK (https://www.baseball-reference.com/teams/OAK/2018.shtml),L,0,3,,36-45,3,9,Bassitt (https://www.baseball-reference.com/players/b/bassich01.shtml),Fiers (https://www.baseball-reference.com/players/f/fiersmi01.shtml),Trivino (https://www.baseball-reference.com/players/t/trivilo01.shtml),3:11,N,"23,961",0.55,--------,
82,2018/06/28,boxscore (https://www.baseball-reference.com/boxes/DET/DET201806280.shtml),DET,,OAK (https://www.baseball-reference.com/teams/OAK/2018.shtml),L,2,4,,36-46,3,9.5,Manaea (https://www.baseball-reference.com/players/m/manaese01.shtml),Fulmer (https://www.baseball-reference.com/players/f/fulmemi01.shtml),Treinen (https://www.baseball-reference.com/players/t/treinbl01.shtml),2:29,D,"28,866",0.43,---------,
83,2018/06/29,boxscore (https://www.baseball-reference.com/boxes/TOR/TOR201806290.shtml),DET,@,TOR (https://www.baseball-reference.com/teams/TOR/2018.shtml),L,2,3,,36-47,3,9.5,Stroman (https://www.baseball-reference.com/players/s/stromma01.shtml),Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),Clippard (https://www.baseball-reference.com/players/c/clippty01.shtml),2:33,N,"24,068",0.38,----------,
84,2018/06/30,boxscore (https://www.baseball-reference.com/boxes/TOR/TOR201806300.shtml),DET,@,TOR (https://www.baseball-reference.com/teams/TOR/2018.shtml),L-wo,3,4,,36-48,3,9.5,Oh (https://www.baseball-reference.com/players/o/ohse01.shtml),Jiménez (https://www.baseball-reference.com/players/j/jimenjo02.shtml),,2:38,D,"27,066",0.36,-----------,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
85,2018/07/01,boxscore (https://www.baseball-reference.com/boxes/TOR/TOR201807010.shtml),DET,@,TOR (https://www.baseball-reference.com/teams/TOR/2018.shtml),W,9,1,,37-48,3,9.5,Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),Happ (https://www.baseball-reference.com/players/h/happja01.shtml),,2:31,D,"37,445",0.36,+,
86,2018/07/02,boxscore (https://www.baseball-reference.com/boxes/TOR/TOR201807020.shtml),DET,@,TOR (https://www.baseball-reference.com/teams/TOR/2018.shtml),W,3,2,10,38-48,2,9.5,Jiménez (https://www.baseball-reference.com/players/j/jimenjo02.shtml),Oh (https://www.baseball-reference.com/players/o/ohse01.shtml),Hardy (https://www.baseball-reference.com/players/h/hardybl01.shtml),2:44,D,"29,575",0.37,++,
87,2018/07/03,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201807030.shtml),DET,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L,3,5,,38-49,2,10.5,Wilson (https://www.baseball-reference.com/players/w/wilsoju10.shtml),Stumpf (https://www.baseball-reference.com/players/s/stumpda01.shtml),Strop (https://www.baseball-reference.com/players/s/stroppe01.shtml),2:57,D,"38,424",0.4,-,
88,2018/07/04,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201807040.shtml),DET,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L,2,5,,38-50,2,11.5,Quintana (https://www.baseball-reference.com/players/q/quintjo01.shtml),Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),Morrow (https://www.baseball-reference.com/players/m/morrobr01.shtml),3:04,D,"40,510",0.29,--,
89,2018/07/05,boxscore (https://www.baseball-reference.com/boxes/DET/DET201807050.shtml),DET,,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),L,5,7,,38-51,3,12,Gallardo (https://www.baseball-reference.com/players/g/gallayo01.shtml),Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),Kela (https://www.baseball-reference.com/players/k/kelake01.shtml),2:55,N,"21,248",0.22,---,
90,2018/07/06,boxscore (https://www.baseball-reference.com/boxes/DET/DET201807060.shtml),DET,,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),W,3,1,,39-51,3,12,Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),Colón (https://www.baseball-reference.com/players/c/colonba01.shtml),Jiménez (https://www.baseball-reference.com/players/j/jimenjo02.shtml),2:05,N,"27,316",0.18,+,
91,2018/07/07,boxscore (https://www.baseball-reference.com/boxes/DET/DET201807070.shtml),DET,,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),W,7,2,,40-51,3,11,Fiers (https://www.baseball-reference.com/players/f/fiersmi01.shtml),Hamels (https://www.baseball-reference.com/players/h/hamelco01.shtml),,3:08,D,"29,174",0.17,++,
92,2018/07/08,boxscore (https://www.baseball-reference.com/boxes/DET/DET201807080.shtml),DET,,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),L,0,3,,40-52,3,11,Bibens-Dirkx (https://www.baseball-reference.com/players/b/bibenau01.shtml),Fulmer (https://www.baseball-reference.com/players/f/fulmemi01.shtml),Kela (https://www.baseball-reference.com/players/k/kelake01.shtml),2:48,D,"22,047",0.23,-,
93,2018/07/09,boxscore (https://www.baseball-reference.com/boxes/TBA/TBA201807090.shtml),DET,@,TBR (https://www.baseball-reference.com/teams/TBR/2018.shtml),L-wo,9,10,10,40-53,3,11,Andriese (https://www.baseball-reference.com/players/a/andrima01.shtml),Hardy (https://www.baseball-reference.com/players/h/hardybl01.shtml),,3:55,N,"14,229",0.23,--,
94,2018/07/10,boxscore (https://www.baseball-reference.com/boxes/TBA/TBA201807100.shtml),DET,@,TBR (https://www.baseball-reference.com/teams/TBR/2018.shtml),L,2,5,,40-54,3,11,Alvarado (https://www.baseball-reference.com/players/a/alvarjo03.shtml),Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),Romo (https://www.baseball-reference.com/players/r/romose01.shtml),2:25,N,"13,478",0.24,---,
95,2018/07/11,boxscore (https://www.baseball-reference.com/boxes/TBA/TBA201807110.shtml),DET,@,TBR (https://www.baseball-reference.com/teams/TBR/2018.shtml),L,2,4,,40-55,3,12,Yarbrough (https://www.baseball-reference.com/players/y/yarbrry01.shtml),Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),Romo (https://www.baseball-reference.com/players/r/romose01.shtml),2:40,D,"13,922",0.22,----,
96,2018/07/13,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201807130.shtml),DET,@,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),L,0,3,,40-56,3,12.5,Keuchel (https://www.baseball-reference.com/players/k/keuchda01.shtml),Fiers (https://www.baseball-reference.com/players/f/fiersmi01.shtml),Rondón (https://www.baseball-reference.com/players/r/rondohe01.shtml),2:44,N,"38,843",0.17,-----,
97,2018/07/14,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201807140.shtml),DET,@,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),L,1,9,,40-57,3,12.5,Cole (https://www.baseball-reference.com/players/c/colege01.shtml),Fulmer (https://www.baseball-reference.com/players/f/fulmemi01.shtml),,2:42,D,"40,405",0.11,------,
98,2018/07/15,boxscore (https://www.baseball-reference.com/boxes/HOU/HOU201807150.shtml),DET,@,HOU (https://www.baseball-reference.com/teams/HOU/2018.shtml),W,6,3,,41-57,3,12.5,VerHagen (https://www.baseball-reference.com/players/v/verhadr01.shtml),Verlander (https://www.baseball-reference.com/players/v/verlaju01.shtml),,2:28,D,"39,455",0.13,+,
99,2018/07/20,boxscore (https://www.baseball-reference.com/boxes/DET/DET201807200.shtml),DET,,BOS (https://www.baseball-reference.com/teams/BOS/2018.shtml),L,0,1,,41-58,3,13.5,Price (https://www.baseball-reference.com/players/p/priceda01.shtml),Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),Kimbrel (https://www.baseball-reference.com/players/k/kimbrcr01.shtml),3:31,N,"33,817",0.13,-,
100,2018/07/21,boxscore (https://www.baseball-reference.com/boxes/DET/DET201807210.shtml),DET,,BOS (https://www.baseball-reference.com/teams/BOS/2018.shtml),W,5,0,,42-58,3,13.5,Fiers (https://www.baseball-reference.com/players/f/fiersmi01.shtml),Johnson (https://www.baseball-reference.com/players/j/johnsbr02.shtml),,2:27,N,"31,682",0.09,+,
101,2018/07/22,boxscore (https://www.baseball-reference.com/boxes/DET/DET201807220.shtml),DET,,BOS (https://www.baseball-reference.com/teams/BOS/2018.shtml),L,1,9,,42-59,3,13.5,Sale (https://www.baseball-reference.com/players/s/salech01.shtml),Hardy (https://www.baseball-reference.com/players/h/hardybl01.shtml),,2:55,D,"25,012",0.09,-,
102,2018/07/23,boxscore (https://www.baseball-reference.com/boxes/KCA/KCA201807230.shtml),DET,@,KCR (https://www.baseball-reference.com/teams/KCR/2018.shtml),W,5,4,,43-59,3,12.5,Wilson (https://www.baseball-reference.com/players/w/wilsoal01.shtml),Maurer (https://www.baseball-reference.com/players/m/maurebr01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),3:13,N,"18,370",0.08,+,
103,2018/07/24,boxscore (https://www.baseball-reference.com/boxes/KCA/KCA201807240.shtml),DET,@,KCR (https://www.baseball-reference.com/teams/KCR/2018.shtml),L,4,5,,43-60,3,12.5,Smith (https://www.baseball-reference.com/players/s/smithbu03.shtml),Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),Peralta (https://www.baseball-reference.com/players/p/peralwi01.shtml),2:43,N,"25,957",0.12,-,
104,2018/07/25,boxscore (https://www.baseball-reference.com/boxes/KCA/KCA201807250.shtml),DET,@,KCR (https://www.baseball-reference.com/teams/KCR/2018.shtml),W,8,4,,44-60,3,12.5,Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),Duffy (https://www.baseball-reference.com/players/d/duffyda01.shtml),,2:50,D,"17,382",0.1,+,
105,2018/07/27,boxscore (https://www.baseball-reference.com/boxes/DET/DET201807270.shtml),DET,,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),L,3,8,,44-61,3,13.5,Allen (https://www.baseball-reference.com/players/a/allenco01.shtml),Jiménez (https://www.baseball-reference.com/players/j/jimenjo02.shtml),,3:09,N,"26,962",0.18,-,
106,2018/07/28,boxscore (https://www.baseball-reference.com/boxes/DET/DET201807280.shtml),DET,,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),W,2,1,,45-61,3,12.5,Hardy (https://www.baseball-reference.com/players/h/hardybl01.shtml),Clevinger (https://www.baseball-reference.com/players/c/clevimi01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),2:27,N,"29,097",0.13,+,
107,2018/07/29,boxscore (https://www.baseball-reference.com/boxes/DET/DET201807290.shtml),DET,,CLE (https://www.baseball-reference.com/teams/CLE/2018.shtml),L,1,8,,45-62,3,13.5,Kluber (https://www.baseball-reference.com/players/k/klubeco01.shtml),Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),,2:55,D,"26,498",0.16,-,
108,2018/07/31,boxscore (https://www.baseball-reference.com/boxes/DET/DET201807310.shtml),DET,,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),W,2,1,,46-62,3,13,Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),Bailey (https://www.baseball-reference.com/players/b/baileho02.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),2:18,N,"24,929",0.05,+,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
109,2018/08/01,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808010.shtml),DET,,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),W,7,4,,47-62,3,13,VerHagen (https://www.baseball-reference.com/players/v/verhadr01.shtml),Romano (https://www.baseball-reference.com/players/r/romansa01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),2:55,D,"24,952",0.07,++,
110,2018/08/03,boxscore (https://www.baseball-reference.com/boxes/OAK/OAK201808030.shtml),DET,@,OAK (https://www.baseball-reference.com/teams/OAK/2018.shtml),L-wo,0,1,13,47-63,3,13,Pagán (https://www.baseball-reference.com/players/p/paganem01.shtml),Farmer (https://www.baseball-reference.com/players/f/farmebu01.shtml),,3:32,N,"14,766",0.07,-,
111,2018/08/04,boxscore (https://www.baseball-reference.com/boxes/OAK/OAK201808040.shtml),DET,@,OAK (https://www.baseball-reference.com/teams/OAK/2018.shtml),L,1,2,,47-64,3,14,Jackson (https://www.baseball-reference.com/players/j/jacksed01.shtml),Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),Treinen (https://www.baseball-reference.com/players/t/treinbl01.shtml),2:30,N,"33,668",0.06,--,
112,2018/08/05,boxscore (https://www.baseball-reference.com/boxes/OAK/OAK201808050.shtml),DET,@,OAK (https://www.baseball-reference.com/teams/OAK/2018.shtml),L,0,6,,47-65,3,15,Cahill (https://www.baseball-reference.com/players/c/cahiltr01.shtml),Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),,2:41,D,"19,559",0.04,---,
113,2018/08/06,boxscore (https://www.baseball-reference.com/boxes/ANA/ANA201808060.shtml),DET,@,LAA (https://www.baseball-reference.com/teams/LAA/2018.shtml),L,2,6,,47-66,3,16,Tropeano (https://www.baseball-reference.com/players/t/tropeni01.shtml),Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),,2:53,N,"34,073",0.02,----,
114,2018/08/07,boxscore (https://www.baseball-reference.com/boxes/ANA/ANA201808070.shtml),DET,@,LAA (https://www.baseball-reference.com/teams/LAA/2018.shtml),L,5,11,,47-67,3,16,Heaney (https://www.baseball-reference.com/players/h/heanean01.shtml),Turner (https://www.baseball-reference.com/players/t/turneja01.shtml),,3:08,N,"35,824",0.01,-----,
115,2018/08/08,boxscore (https://www.baseball-reference.com/boxes/ANA/ANA201808080.shtml),DET,@,LAA (https://www.baseball-reference.com/teams/LAA/2018.shtml),L,0,6,,47-68,3,17,Barria (https://www.baseball-reference.com/players/b/barrija01.shtml),Hardy (https://www.baseball-reference.com/players/h/hardybl01.shtml),,2:45,D,"38,832",0.01,------,
116,2018/08/10,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808100.shtml),DET,,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),W,5,3,,48-68,3,16.5,Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),Santana (https://www.baseball-reference.com/players/s/santaer01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),2:37,N,"24,849",0.01,+,
117,2018/08/11,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808110.shtml),DET,,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L,3,4,,48-69,3,17.5,Gibson (https://www.baseball-reference.com/players/g/gibsoky01.shtml),Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),Hildenberger (https://www.baseball-reference.com/players/h/hildetr01.shtml),3:09,N,"26,991",0.01,-,
118,2018/08/12,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808120.shtml),DET,,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),W,4,2,,49-69,3,17.5,Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),Stewart (https://www.baseball-reference.com/players/s/stewako01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),2:33,D,"30,105",0,+,
119,2018/08/13,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808130.shtml),DET,,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),W,9,5,,50-69,3,17.5,Coleman (https://www.baseball-reference.com/players/c/colemlo01.shtml),Gómez (https://www.baseball-reference.com/players/g/gomezje01.shtml),,3:35,N,"20,964",0,++,
120,2018/08/14,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808140.shtml),DET,,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),L,3,6,,50-70,3,18.5,Giolito (https://www.baseball-reference.com/players/g/giolilu01.shtml),Hardy (https://www.baseball-reference.com/players/h/hardybl01.shtml),Cedeño (https://www.baseball-reference.com/players/c/cedenxa01.shtml),3:01,N,"20,661",0,-,
121,2018/08/15,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808150.shtml),DET,,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),L,5,6,,50-71,3,19.5,Rodón (https://www.baseball-reference.com/players/r/rodonca01.shtml),Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),Avilán (https://www.baseball-reference.com/players/a/avilalu01.shtml),2:54,D,"23,784",0,--,
122,2018/08/16,boxscore (https://www.baseball-reference.com/boxes/MIN/MIN201808160.shtml),DET,@,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L,8,15,,50-72,3,20,May (https://www.baseball-reference.com/players/m/maytr01.shtml),Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),,3:35,N,"25,108",0,---,
123,2018/08/17,boxscore (https://www.baseball-reference.com/boxes/MIN/MIN201808170.shtml),DET,@,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L,4,5,,50-73,3,21,Gibson (https://www.baseball-reference.com/players/g/gibsoky01.shtml),Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),Rogers (https://www.baseball-reference.com/players/r/rogerta01.shtml),2:43,N,"26,605",0,----,
124,2018/08/18,boxscore (https://www.baseball-reference.com/boxes/MIN/MIN201808180.shtml),DET,@,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),W,7,5,,51-73,3,20,Carpenter (https://www.baseball-reference.com/players/c/carpery01.shtml),Duffey (https://www.baseball-reference.com/players/d/duffety01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),3:29,N,"31,904",0,+,
125,2018/08/19,boxscore (https://www.baseball-reference.com/boxes/MIN/MIN201808190.shtml),DET,@,MIN (https://www.baseball-reference.com/teams/MIN/2018.shtml),L,4,5,,51-74,3,21,Hildenberger (https://www.baseball-reference.com/players/h/hildetr01.shtml),Wilson (https://www.baseball-reference.com/players/w/wilsoal01.shtml),,3:16,D,"27,917",0,-,
126,2018/08/21,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808210.shtml),DET,,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),W,2,1,,52-74,3,21.5,Zimmermann (https://www.baseball-reference.com/players/z/zimmejo02.shtml),Hendricks (https://www.baseball-reference.com/players/h/hendrky01.shtml),Greene (https://www.baseball-reference.com/players/g/greensh02.shtml),2:45,N,"26,638",0,+,
127,2018/08/22,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808220.shtml),DET,,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L,2,8,,52-75,3,21.5,Lester (https://www.baseball-reference.com/players/l/lestejo01.shtml),Liriano (https://www.baseball-reference.com/players/l/liriafr01.shtml),,3:26,N,"28,286",0,-,
128,2018/08/23,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808230.shtml),DET,,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),W,7,2,,53-75,3,20.5,Boyd (https://www.baseball-reference.com/players/b/boydma01.shtml),Shields (https://www.baseball-reference.com/players/s/shielja02.shtml),,2:47,D,"22,247",0,+,
129,2018/08/24,boxscore (https://www.baseball-reference.com/boxes/DET/DET201808240.shtml),DET,,CHW (https://www.baseball-reference.com/teams/CHW/2018.shtml),L,3,6,,53-76,3,20.5,Vieira (https://www.baseball-reference.com/players/v/vieirth01.shtml),Jiménez (https://www.baseball-reference.com/players/j/jimenjo02.shtml),,3:28,N,"23,191",0,-,
