Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
72,2018/06/18,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806180.shtml),PIT,,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),W,1,0,,36-36,4,6,Williams (https://www.baseball-reference.com/players/w/willitr01.shtml),Chacín (https://www.baseball-reference.com/players/c/chacijh01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),2:32,N,"10,672",0.87,+,
73,2018/06/19,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806190.shtml),PIT,,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),L,2,3,,36-37,4,7,Peralta (https://www.baseball-reference.com/players/p/peralfr01.shtml),Taillon (https://www.baseball-reference.com/players/t/taillja01.shtml),Knebel (https://www.baseball-reference.com/players/k/knebeco01.shtml),3:17,N,"14,152",0.98,-,
74,2018/06/21,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806210.shtml),PIT,,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),L,3,9,,36-38,4,8,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Kuhl (https://www.baseball-reference.com/players/k/kuhlch01.shtml),,3:11,N,"20,554",0.72,--,
75,2018/06/22,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806220.shtml),PIT,,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),L,1,2,13,36-39,4,9,Chafin (https://www.baseball-reference.com/players/c/chafian01.shtml),Glasnow (https://www.baseball-reference.com/players/g/glasnty01.shtml),McFarland (https://www.baseball-reference.com/players/m/mcfartj01.shtml),3:51,N,"24,843",0.65,---,
76,2018/06/23,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806230.shtml),PIT,,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),L,2,7,,36-40,4,9,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Musgrove (https://www.baseball-reference.com/players/m/musgrjo01.shtml),,2:52,D,"21,121",0.57,----,
77,2018/06/24,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806240.shtml),PIT,,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),L,0,3,,36-41,4,9,Buchholz (https://www.baseball-reference.com/players/b/buchhcl01.shtml),Williams (https://www.baseball-reference.com/players/w/willitr01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),2:32,D,"19,207",0.53,-----,
78,2018/06/25,boxscore (https://www.baseball-reference.com/boxes/NYN/NYN201806250.shtml),PIT,@,NYM (https://www.baseball-reference.com/teams/NYM/2018.shtml),W,6,4,,37-41,4,8.5,Taillon (https://www.baseball-reference.com/players/t/taillja01.shtml),Lugo (https://www.baseball-reference.com/players/l/lugose01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),3:27,N,"22,135",0.47,+,
79,2018/06/26,boxscore (https://www.baseball-reference.com/boxes/NYN/NYN201806260.shtml),PIT,@,NYM (https://www.baseball-reference.com/teams/NYM/2018.shtml),L-wo,3,4,10,37-42,4,9.5,Peterson (https://www.baseball-reference.com/players/p/peterti01.shtml),Brault (https://www.baseball-reference.com/players/b/braulst01.shtml),,3:20,N,"24,501",0.52,-,
80,2018/06/27,boxscore (https://www.baseball-reference.com/boxes/NYN/NYN201806270.shtml),PIT,@,NYM (https://www.baseball-reference.com/teams/NYM/2018.shtml),W,5,3,,38-42,4,8.5,Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),Familia (https://www.baseball-reference.com/players/f/familje01.shtml),,3:03,N,"24,506",0.44,+,
81,2018/06/29,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201806290.shtml),PIT,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,6,3,,39-42,4,9,Musgrove (https://www.baseball-reference.com/players/m/musgrjo01.shtml),Lauer (https://www.baseball-reference.com/players/l/lauerer01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),3:02,N,"27,083",0.51,++,
82,2018/06/30,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201806300.shtml),PIT,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),L,3,4,,39-43,4,9,Lucchesi (https://www.baseball-reference.com/players/l/lucchjo01.shtml),Williams (https://www.baseball-reference.com/players/w/willitr01.shtml),Hand (https://www.baseball-reference.com/players/h/handbr01.shtml),2:48,N,"32,418",0.57,-,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
83,2018/07/01,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201807010.shtml),PIT,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,7,5,,40-43,4,8,Crick (https://www.baseball-reference.com/players/c/crickky01.shtml),Ross (https://www.baseball-reference.com/players/r/rossty01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),3:30,D,"32,099",0.5,+,
84,2018/07/02,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807020.shtml),PIT,@,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),L,1,17,,40-44,4,9,Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Kingham (https://www.baseball-reference.com/players/k/kinghni01.shtml),Ferguson (https://www.baseball-reference.com/players/f/ferguca01.shtml),3:20,N,"45,207",0.63,-,
85,2018/07/03,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807030.shtml),PIT,@,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),L,3,8,,40-45,4,10,Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),Nova (https://www.baseball-reference.com/players/n/novaiv01.shtml),,2:57,N,"48,819",0.53,--,
86,2018/07/04,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807040.shtml),PIT,@,LAD (https://www.baseball-reference.com/teams/LAD/2018.shtml),L,4,6,,40-46,4,11,Hill (https://www.baseball-reference.com/players/h/hillri01.shtml),Holmes (https://www.baseball-reference.com/players/h/holmecl01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:23,N,"53,139",0.42,---,
87,2018/07/06,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201807060.shtml),PIT,,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),L,5,17,,40-47,4,12.5,Ramos (https://www.baseball-reference.com/players/r/ramosed02.shtml),Williams (https://www.baseball-reference.com/players/w/willitr01.shtml),,4:30,N,"24,846",0.33,----,
88,2018/07/07,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201807070.shtml),PIT,,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),L,2,3,,40-48,4,12.5,Arrieta (https://www.baseball-reference.com/players/a/arrieja01.shtml),Taillon (https://www.baseball-reference.com/players/t/taillja01.shtml),Arano (https://www.baseball-reference.com/players/a/aranovi01.shtml),2:48,D,"28,150",0.26,-----,
89,2018/07/08,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201807080.shtml),PIT,,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),W,4,1,,41-48,4,12.5,Kingham (https://www.baseball-reference.com/players/k/kinghni01.shtml),Anderson (https://www.baseball-reference.com/players/a/anderdr02.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),2:42,D,"19,542",0.19,+,
90,2018/07/09,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201807090.shtml),PIT,,WSN (https://www.baseball-reference.com/teams/WSN/2018.shtml),W,6,3,,42-48,4,11.5,Nova (https://www.baseball-reference.com/players/n/novaiv01.shtml),Rodríguez (https://www.baseball-reference.com/players/r/rodrije01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),2:49,N,"14,075",0.24,++,
91,2018/07/10,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201807100.shtml),PIT,,WSN (https://www.baseball-reference.com/teams/WSN/2018.shtml),L,1,5,,42-49,4,12.5,Hellickson (https://www.baseball-reference.com/players/h/hellije01.shtml),Musgrove (https://www.baseball-reference.com/players/m/musgrjo01.shtml),,3:21,N,"17,103",0.28,-,
92,2018/07/11,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201807110.shtml),PIT,,WSN (https://www.baseball-reference.com/teams/WSN/2018.shtml),W,2,0,,43-49,4,11.5,Williams (https://www.baseball-reference.com/players/w/willitr01.shtml),Gonzalez (https://www.baseball-reference.com/players/g/gonzagi01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),2:34,D,"21,083",0.21,+,
93,2018/07/12,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201807120.shtml),PIT,,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),W,6,3,,44-49,4,10.5,Taillon (https://www.baseball-reference.com/players/t/taillja01.shtml),Miley (https://www.baseball-reference.com/players/m/mileywa01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),3:00,N,"17,858",0.3,++,
94,2018/07/13,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201807130.shtml),PIT,,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),W,7,3,,45-49,4,9.5,Kingham (https://www.baseball-reference.com/players/k/kinghni01.shtml),Guerra (https://www.baseball-reference.com/players/g/guerrju02.shtml),Crick (https://www.baseball-reference.com/players/c/crickky01.shtml),2:48,N,"21,431",0.35,+++,
95,2018/07/14,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201807141.shtml),PIT,,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),W,2,1,,46-49,4,9,Rodríguez (https://www.baseball-reference.com/players/r/rodriri05.shtml),Anderson (https://www.baseball-reference.com/players/a/anderch01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),3:03,D,,0.39,++++,2018-06-20 (Rain)
96,2018/07/14,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201807142.shtml),PIT,,MIL (https://www.baseball-reference.com/teams/MIL/2018.shtml),W,6,2,,47-49,4,9,Holmes (https://www.baseball-reference.com/players/h/holmecl01.shtml),Suter (https://www.baseball-reference.com/players/s/suterbr01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),2:58,D,"24,474",0.46,+++++,
