Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
24,"Wednesday, Apr 28 (https://www.baseball-reference.com/boxes/?date=2021-04-28)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202104280.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2021.shtml),L,3,12,,12-12,4,3.5,Northcraft (https://www.baseball-reference.com/players/n/northaa01.shtml),Smith (https://www.baseball-reference.com/players/s/smithri01.shtml),,3:05,N,"9,495",1.12,-,
25,"Thursday, Apr 29 (https://www.baseball-reference.com/boxes/?date=2021-04-29)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202104290.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2021.shtml),W,5,3,,13-12,4,3,Smith (https://www.baseball-reference.com/players/s/smithca03.shtml),Stephenson (https://www.baseball-reference.com/players/s/stephro01.shtml),Crichton (https://www.baseball-reference.com/players/c/crichst01.shtml),3:01,N,"6,843",1,+,
26,"Friday, Apr 30 (https://www.baseball-reference.com/boxes/?date=2021-04-30)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202104300.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2021.shtml),W,7,2,,14-12,4,2,Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Gray (https://www.baseball-reference.com/players/g/grayjo02.shtml),,2:58,N,"13,184",1.05,++,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
27,"Saturday, May 1 (https://www.baseball-reference.com/boxes/?date=2021-05-01)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105010.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2021.shtml),L,6,14,,14-13,4,2,Gomber (https://www.baseball-reference.com/players/g/gombeau01.shtml),Gallen (https://www.baseball-reference.com/players/g/galleza01.shtml),,3:41,N,"15,734",1.11,-,
28,"Sunday, May 2 (https://www.baseball-reference.com/boxes/?date=2021-05-02)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105020.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2021.shtml),W,8,4,,15-13,4,2,Devenski (https://www.baseball-reference.com/players/d/devench02.shtml),Bard (https://www.baseball-reference.com/players/b/bardda01.shtml),,3:29,D,"11,395",1.07,+,
29,"Tuesday, May 4 (https://www.baseball-reference.com/boxes/?date=2021-05-04)",boxscore (https://www.baseball-reference.com/boxes/MIA/MIA202105040.shtml),ARI,@,MIA (https://www.baseball-reference.com/teams/MIA/2021.shtml),L,3,9,,15-14,4,2.5,Bleier (https://www.baseball-reference.com/players/b/bleieri01.shtml),Ginkel (https://www.baseball-reference.com/players/g/ginkeke01.shtml),,3:17,N,"3,898",1.05,-,
30,"Wednesday, May 5 (https://www.baseball-reference.com/boxes/?date=2021-05-05)",boxscore (https://www.baseball-reference.com/boxes/MIA/MIA202105050.shtml),ARI,@,MIA (https://www.baseball-reference.com/teams/MIA/2021.shtml),L,0,8,,15-15,4,2.5,Holloway (https://www.baseball-reference.com/players/h/hollojo01.shtml),Weaver (https://www.baseball-reference.com/players/w/weavelu01.shtml),,2:57,N,"3,573",1.04,--,
31,"Thursday, May 6 (https://www.baseball-reference.com/boxes/?date=2021-05-06)",boxscore (https://www.baseball-reference.com/boxes/MIA/MIA202105060.shtml),ARI,@,MIA (https://www.baseball-reference.com/teams/MIA/2021.shtml),L,1,3,,15-16,4,3,Floro (https://www.baseball-reference.com/players/f/florody01.shtml),Bukauskas (https://www.baseball-reference.com/players/b/bukaujb01.shtml),García (https://www.baseball-reference.com/players/g/garciyi01.shtml),2:44,N,"4,049",1.02,---,
32,"Friday, May 7 (https://www.baseball-reference.com/boxes/?date=2021-05-07)",boxscore (https://www.baseball-reference.com/boxes/NYN/NYN202105070.shtml),ARI,@,NYM (https://www.baseball-reference.com/teams/NYM/2021.shtml),L-wo,4,5,10,15-17,4,4,Loup (https://www.baseball-reference.com/players/l/loupaa01.shtml),Crichton (https://www.baseball-reference.com/players/c/crichst01.shtml),,3:52,N,"7,662",0.99,----,
