Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
67,2017/06/14,ARI,DET,W,2,1,,41-26,3,0.5,Walker,Zimmermann,Rodney,2:45,N,"26,134",1.15,++++
68,2017/06/16,ARI,PHI,W,5,4,,42-26,2,1,Corbin,Nola,Rodney,3:12,N,"18,140",1.15,+++++
69,2017/06/17,ARI,PHI,W,5,1,,43-26,2,1,De La Rosa,Ramos,,3:25,D,"21,108",1.07,++++++
70,2017/06/18,ARI,PHI,W,5,4,10,44-26,2,1,Bradley,Gómez,Rodney,4:12,D,"31,131",1.04,+++++++
71,2017/06/20,ARI,COL,L,3,4,,44-27,3,2,Ottavino,Greinke,Holland,2:45,N,"35,016",1.38,-
72,2017/06/21,ARI,COL,W,16,5,,45-27,3,1.5,Walker,Hoffman,,3:28,N,"40,918",1.36,+
73,2017/06/22,ARI,COL,W,10,3,,46-27,2,1.5,Godley,Senzatela,,3:06,D,"40,681",1.3,++
74,2017/06/23,ARI,PHI,L,1,6,,46-28,2,2.5,Leiter,Corbin,,2:54,N,"31,648",1.03,-
75,2017/06/24,ARI,PHI,W,9,2,,47-28,2,2.5,Ray,Lively,,3:05,N,"40,557",0.99,+
76,2017/06/25,ARI,PHI,W-wo,2,1,11,48-28,2,2.5,McFarland,Ramos,,3:50,D,"28,179",0.97,++
77,2017/06/26,ARI,PHI,W,6,1,,49-28,2,1.5,Greinke,Pivetta,,3:11,D,"20,765",0.97,+++
78,2017/06/27,ARI,STL,W-wo,6,5,10,50-28,2,1.5,Rodney,Bowman,,3:22,N,"24,256",0.99,++++
79,2017/06/28,ARI,STL,L,3,4,,50-29,2,1.5,Wainwright,Godley,Rosenthal,3:18,N,"23,188",0.95,-
80,2017/06/29,ARI,STL,L,4,10,,50-30,2,2.5,Lynn,De La Rosa,,3:18,D,"27,603",0.98,--
81,2017/06/30,ARI,COL,L,3,6,,50-31,2,3.5,Gray,Ray,Holland,3:31,N,"23,275",1.2,---
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
82,2017/07/01,ARI,COL,W,6,2,,51-31,2,3.5,Greinke,Chatwood,Rodney,2:38,N,"46,338",1.21,+
83,2017/07/02,ARI,COL,W-wo,4,3,,52-31,2,2.5,Rodney,Ottavino,,3:04,D,"34,556",1.16,++
84,2017/07/04,ARI,LAD,L,3,4,,52-32,2,3.5,Kershaw,Corbin,Jansen,3:26,N,"53,159",1.43,-
85,2017/07/05,ARI,LAD,L,0,1,,52-33,2,4.5,Wood,Godley,Jansen,2:56,N,"40,997",1.43,--
86,2017/07/06,ARI,LAD,L-wo,4,5,,52-34,2,5.5,Fields,Rodney,,3:07,N,"41,999",1.35,---
87,2017/07/07,ARI,CIN,W,6,3,,53-34,2,5.5,Greinke,Adleman,Rodney,2:57,N,"27,006",0.91,+
88,2017/07/08,ARI,CIN,L,0,7,,53-35,2,6.5,Castillo,Walker,,3:00,N,"29,806",0.9,-
89,2017/07/09,ARI,CIN,L,1,2,,53-36,2,7.5,Bailey,Corbin,Iglesias,2:53,D,"24,923",0.85,--
90,2017/07/14,ARI,ATL,L,3,4,,53-37,2,8.5,Brothers,Bradley,Johnson,3:02,N,"38,852",0.9,---
91,2017/07/15,ARI,ATL,L,5,8,,53-38,2,9.5,Krol,Delgado,Johnson,3:28,N,"41,627",0.89,----
92,2017/07/16,ARI,ATL,L,1,7,,53-39,2,10.5,García,Godley,,2:47,D,"36,637",0.92,-----
93,2017/07/18,ARI,CIN,W,11,2,,54-39,2,10.5,Ray,Romano,,3:05,N,"19,989",0.83,+
94,2017/07/19,ARI,CIN,L-wo,3,4,11,54-40,3,11.5,Lorenzen,McFarland,,3:59,N,"16,573",0.79,-
95,2017/07/20,ARI,CIN,W,12,2,,55-40,2,10.5,Corbin,Castillo,,2:47,D,"19,711",0.77,+
96,2017/07/21,ARI,WSN,W-wo,6,5,,56-40,2,9.5,Rodney,Romero,,3:23,N,"37,858",0.8,++
97,2017/07/22,ARI,WSN,L,3,4,,56-41,2,10.5,Roark,Banda,Doolittle,2:56,N,"39,176",0.8,-
98,2017/07/23,ARI,WSN,L,2,6,,56-42,3,11.5,Blanton,Ray,,3:39,D,"32,720",0.8,--
99,2017/07/24,ARI,ATL,W,10,2,,57-42,2,11.5,Greinke,Dickey,,3:00,N,"20,862",0.88,+
100,2017/07/25,ARI,ATL,L,3,8,,57-43,2,12.5,Foltynewicz,Hoover,,3:10,N,"25,069",0.77,-
101,2017/07/26,ARI,ATL,W,10,3,,58-43,2,12.5,Corbin,Blair,,3:17,D,"25,836",0.87,+
102,2017/07/27,ARI,STL,W,4,0,,59-43,2,12,Godley,Weaver,,2:47,N,"39,208",0.8,++
103,2017/07/28,ARI,STL,L,0,1,,59-44,2,13,Wacha,McFarland,Rosenthal,3:10,N,"41,230",0.7,-
104,2017/07/29,ARI,STL,W,7,1,,60-44,2,13,Greinke,Leake,,3:12,N,"48,052",0.73,+
105,2017/07/30,ARI,STL,L,2,3,,60-45,2,14,Lynn,Walker,Rosenthal,3:06,D,"40,827",0.66,-
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
106,2017/08/01,ARI,CHC,L,4,16,,60-46,3,15,Rondón,Corbin,Montgomery,3:27,N,"40,709",0.69,--
107,2017/08/02,ARI,CHC,W,3,0,,61-46,2,14,Godley,Arrieta,Rodney,2:44,N,"41,321",0.76,+
108,2017/08/03,ARI,CHC,W,10,8,,62-46,2,14,Barrett,Davis,Rodney,3:59,D,"39,525",0.68,++
109,2017/08/04,ARI,SFG,W,2,1,,63-46,2,14,Banda,Bumgarner,Rodney,2:39,N,"38,967",0.54,+++
110,2017/08/05,ARI,SFG,L-wo,4,5,10,63-47,3,15,Strickland,McFarland,,3:38,N,"39,532",0.46,-
111,2017/08/06,ARI,SFG,L,3,6,,63-48,3,16,Samardzija,Corbin,Suárez,3:03,D,"40,107",0.51,--
112,2017/08/08,ARI,LAD,W,6,3,,64-48,2,15,Hernandez,Watson,Rodney,2:59,N,"24,810",0.58,+
113,2017/08/09,ARI,LAD,L,2,3,,64-49,3,16,Wood,Greinke,Jansen,2:48,N,"22,670",0.52,-
114,2017/08/10,ARI,LAD,L,6,8,,64-50,3,17,Darvish,Banda,Jansen,3:37,N,"31,396",0.54,--
115,2017/08/11,ARI,CHC,L,3,8,,64-51,3,17,Lackey,Walker,,3:23,N,"39,131",0.7,---
116,2017/08/12,ARI,CHC,W,6,2,,65-51,2,17,Corbin,Lester,Hernandez,3:05,N,"42,219",0.8,+
117,2017/08/13,ARI,CHC,L,2,7,,65-52,2,18,Arrieta,Godley,,3:12,D,"41,760",0.75,-
118,2017/08/14,ARI,HOU,W,2,0,,66-52,2,17.5,Greinke,McHugh,Rodney,2:48,N,"20,405",0.73,+
119,2017/08/15,ARI,HOU,L,4,9,,66-53,2,18.5,Martes,Banda,,3:07,D,"16,935",0.69,-
120,2017/08/16,ARI,HOU,L,5,9,,66-54,3,19.5,Morton,Walker,,3:17,N,"27,278",0.7,--
121,2017/08/17,ARI,HOU,W,4,0,,67-54,2,19,Corbin,Fiers,,2:48,D,"27,949",0.79,+
122,2017/08/18,ARI,MIN,L,3,10,,67-55,3,20,Santana,Godley,,3:06,N,"25,830",0.69,-
123,2017/08/19,ARI,MIN,L,0,5,,67-56,3,21,Berríos,Greinke,,2:54,N,"29,456",0.79,--
124,2017/08/20,ARI,MIN,L,5,12,,67-57,3,21,Colón,McFarland,,3:06,D,"27,367",0.92,---
125,2017/08/21,ARI,NYM,W,3,2,10,68-57,3,21,Sherfy,Goeddel,Rodney,3:46,N,"24,265",1,+
126,2017/08/22,ARI,NYM,W,7,4,,69-57,2,21,Corbin,Milone,Rodney,3:03,N,"25,220",0.86,++
127,2017/08/23,ARI,NYM,L,2,4,,69-58,2,21,Flexen,Godley,Ramos,3:15,N,"31,277",0.83,-
128,2017/08/24,ARI,NYM,W,3,2,,70-58,2,21,Ray,Montero,Rodney,3:45,D,"25,284",0.9,+
129,2017/08/25,ARI,SFG,W,4,3,,71-58,2,21,Greinke,Blach,Rodney,2:54,N,"31,924",0.82,++
130,2017/08/26,ARI,SFG,W,2,1,,72-58,2,20,Walker,Bumgarner,Rodney,2:34,N,"25,709",0.63,+++
131,2017/08/27,ARI,SFG,W,11,0,,73-58,2,19,Corbin,Stratton,,3:03,D,"23,210",0.67,++++
132,2017/08/29,ARI,LAD,W,7,6,,74-58,2,18,Godley,Hill,Rodney,3:08,N,"25,219",0.59,+++++
133,2017/08/30,ARI,LAD,W,6,4,,75-58,2,17,Ray,Ryu,Rodney,3:05,N,"23,321",0.47,++++++
134,2017/08/31,ARI,LAD,W,8,1,,76-58,2,16,Greinke,Maeda,,3:02,D,"19,882",0.39,+++++++
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
135,2017/09/01,ARI,COL,W,9,5,,77-58,2,16,Walker,Freeland,,3:48,N,"29,628",0.45,++++++++
136,2017/09/02,ARI,COL,W,6,2,,78-58,2,14.5,Corbin,Gray,,3:38,N,"39,442",0.36,+++++++++
137,2017/09/03,ARI,COL,W,5,1,,79-58,2,13.5,Godley,Márquez,Sherfy,3:13,D,"33,838",0.23,++++++++++
138,2017/09/04,ARI,LAD,W,13,0,,80-58,2,12.5,Ray,Hill,,3:00,N,"47,192",0.12,+++++++++++
139,2017/09/05,ARI,LAD,W,3,1,10,81-58,2,11.5,Hernandez,Báez,Rodney,3:42,N,"47,039",0.09,++++++++++++
140,2017/09/06,ARI,LAD,W,3,1,,82-58,2,10.5,Walker,Avilán,Rodney,3:18,N,"48,612",0.08,+++++++++++++
141,2017/09/08,ARI,SDP,L,6,10,,82-59,2,10,Lyles,Corbin,,3:36,N,"27,988",0.07,-
142,2017/09/09,ARI,SDP,L,7,8,,82-60,2,10,Maton,Rodney,Hand,3:33,N,"34,156",0.08,--
143,2017/09/10,ARI,SDP,W,3,2,,83-60,2,9,Ray,Perdomo,Bradley,2:58,D,"23,854",0.12,+
144,2017/09/11,ARI,COL,L,4,5,,83-61,2,9,Anderson,Barrett,Holland,3:40,N,"24,178",0.19,-
145,2017/09/12,ARI,COL,L,2,4,,83-62,2,10,Gray,Hernandez,Rusin,2:54,N,"27,526",0.24,--
146,2017/09/13,ARI,COL,W,8,2,,84-62,2,10,Corbin,Márquez,,3:00,N,"26,714",0.31,+
147,2017/09/14,ARI,COL,W,7,0,,85-62,2,9.5,Godley,Bettis,,2:53,D,"20,317",0.19,++
148,2017/09/15,ARI,SFG,W,3,2,,86-62,2,9.5,Ray,Samardzija,Rodney,2:26,N,"39,810",0.09,+++
149,2017/09/16,ARI,SFG,W,2,0,,87-62,2,9.5,Greinke,Bumgarner,Rodney,2:32,N,"37,846",0.08,++++
150,2017/09/17,ARI,SFG,L,2,7,,87-63,2,9.5,Stratton,Walker,,2:55,D,"38,476",0.06,-
151,2017/09/18,ARI,SDP,L,2,4,,87-64,2,9.5,Perdomo,Corbin,Hand,3:02,N,"20,199",0.05,--
